employee_id,salary_system,salary_received,salary_difference,checker_approved,signer_approved,fraud_flag,fraud_probability
EMP1000,4500000,3960000,540000,1,1,1,51.50
EMP1001,4500000,4500000,0,1,1,0,
EMP1002,9000000,9000000,0,1,1,0,
EMP1003,9000000,7471798,1528202,1,0,1,
EMP1004,9000000,7070449,1929551,1,0,1,
EMP1005,11500000,11500000,0,1,1,0,
EMP1006,4500000,4500000,0,1,1,0,
EMP1007,11500000,11500000,0,1,1,0,
EMP1008,9000000,8316132,683868,1,0,1,
EMP1009,4500000,3340208,1159792,1,0,1,
EMP1010,11500000,11500000,0,1,1,0,
EMP1011,11500000,10904743,595257,1,0,1,
EMP1012,9000000,9000000,0,1,1,0,
EMP1013,4500000,4500000,0,1,1,0,
EMP1014,9000000,9000000,0,1,1,0,
EMP1015,4500000,4500000,0,1,1,0,
EMP1016,14000000,12911421,1088579,1,0,1,
EMP1017,6700000,5989824,710176,1,0,1,
EMP1018,6700000,6700000,0,1,1,0,
EMP1019,6700000,6009529,690471,1,0,1,
EMP1020,9000000,7585968,1414032,1,0,1,
EMP1021,14000000,13027070,972930,1,0,1,
EMP1022,4500000,4500000,0,1,1,0,
EMP1023,11500000,11500000,0,1,1,0,
EMP1024,4500000,4500000,0,1,1,0,
EMP1025,11500000,11500000,0,1,1,0,
EMP1026,4500000,4500000,0,1,1,0,
EMP1027,14000000,12582441,1417559,1,0,1,
EMP1028,11500000,11500000,0,1,1,0,
EMP1029,9000000,9000000,0,1,1,0,
EMP1030,4500000,4500000,0,1,1,0,
EMP1031,4500000,4500000,0,1,1,0,
EMP1032,11500000,11500000,0,1,1,0,
EMP1033,9000000,9000000,0,1,1,0,
EMP1034,9000000,9000000,0,1,1,0,
EMP1035,14000000,14000000,0,1,1,0,
EMP1036,9000000,9000000,0,1,1,0,
EMP1037,9000000,7864395,1135605,1,0,1,
EMP1038,9000000,9000000,0,1,1,0,
EMP1039,6700000,6700000,0,1,1,0,
EMP1040,14000000,14000000,0,1,1,0,
EMP1041,4500000,2811635,1688365,1,0,1,
EMP1042,11500000,11500000,0,1,1,0,
EMP1043,4500000,4500000,0,1,1,0,
EMP1044,14000000,13110407,889593,1,0,1,
EMP1045,11500000,11500000,0,1,1,0,
EMP1046,14000000,12684869,1315131,1,0,1,
EMP1047,9000000,9000000,0,1,1,0,
EMP1048,11500000,11500000,0,1,1,0,
EMP1049,9000000,9000000,0,1,1,0,
EMP1050,4500000,2877738,1622262,1,0,1,
EMP1051,4500000,4500000,0,1,1,0,
EMP1052,11500000,10932339,567661,1,0,1,
EMP1053,11500000,11500000,0,1,1,0,
EMP1054,14000000,12931465,1068535,1,0,1,
EMP1055,14000000,14000000,0,1,1,0,
EMP1056,9000000,7206303,1793697,1,0,1,
EMP1057,11500000,11500000,0,1,1,0,
EMP1058,4500000,4500000,0,1,1,0,
EMP1059,14000000,14000000,0,1,1,0,
EMP1060,14000000,14000000,0,1,1,0,
EMP1061,4500000,4500000,0,1,1,0,
EMP1062,14000000,14000000,0,1,1,0,
EMP1063,9000000,7084167,1915833,1,0,1,
EMP1064,11500000,11500000,0,1,1,0,
EMP1065,4500000,3733235,766765,1,0,1,
EMP1066,11500000,9805318,1694682,1,0,1,
EMP1067,14000000,14000000,0,1,1,0,
EMP1068,14000000,12192494,1807506,1,0,1,
EMP1069,4500000,3339518,1160482,1,0,1,
EMP1070,9000000,9000000,0,1,1,0,
EMP1071,6700000,6700000,0,1,1,0,
EMP1072,4500000,4500000,0,1,1,0,
EMP1073,6700000,6700000,0,1,1,0,
EMP1074,6700000,6700000,0,1,1,0,
EMP1075,9000000,9000000,0,1,1,0,
EMP1076,6700000,5395538,1304462,1,0,1,
